"Item ID","Category","Item Name","Price (₹)","In Stock","Diet","Tags","Description"
"egg-roll","rolls","Egg Roll","50","TRUE","Egg","Crispy, Egg Special","Crisp flaky layered paratha wrapped with golden fluffy spiced egg omelette and tangy lime onions."
"veg-gobi-roll","rolls","Veg Gobi Roll","50","TRUE","Veg","100% Veg, Crispy Gobi","Crispy spiced cauliflower florets, fresh mint chutney & crunchy sliced red onions wrapped in warm layered paratha."
"egg-gobi-roll","rolls","Egg Gobi Roll","60","TRUE","Egg","Egg + Gobi, Street Style","Loaded egg layer filled with crunchy spiced roasted gobi, green chutney, lime juice and chaat masala."
"veg-paneer-roll","rolls","Veg Paneer Roll","80","TRUE","Veg","100% Veg, Tandoori Paneer","Soft paneer cubes simmered in aromatic tandoori marinade wrapped in soft handmade flaky paratha."
"egg-paneer-roll","rolls","Egg Paneer Roll","90","TRUE","Egg","Egg + Paneer, Rich Protein","Double delight: fluffy egg crepe combined with succulent spiced cottage cheese and charred bell peppers."
"egg-chicken-roll","rolls","Egg Chicken Roll","80","TRUE","Non-Veg","Bestseller, Fire Sizzled","Tender spiced shredded chicken tossed with roasted onions, special green chutney, wrapped in fresh layered paratha with a golden pan-fried egg."
"egg-double-chicken-roll","rolls","Egg Double Chicken Roll","100","TRUE","Non-Veg","Chef Special, Double Loaded","Heavy loaded charred chicken chunks, double fluffy egg layer, special spices, and mint garlic sauce."
"mini-box-chicken","fried-chicken","Mini Box (6 Pcs)","260","TRUE","Non-Veg","6 Pcs, Crispy Fried, Popular","6 pieces of crunchy, golden bone-in fried chicken seasoned with our signature savory spice rub."
"medium-bucket-chicken","fried-chicken","Medium Bucket Chicken","490","TRUE","Non-Veg","Sharing Bucket, Crispy Fried","Crunchy golden fried chicken bucket loaded with juicy, tender chicken pieces. Perfect for sharing!"
"large-bucket-chicken","fried-chicken","Large Bucket Chicken","700","TRUE","Non-Veg","Family Feast, Chef Special","Giant party feast bucket packed with hot, sizzling and extra crunchy bone-in fried chicken."
"hot-crispy-leg-piece","fried-chicken","Hot Crispy Leg Piece (2 Pcs)","120","TRUE","Non-Veg","2 Pcs Drumsticks, Hot & Crispy","Two prime juicy chicken drumsticks coated in fiery crispy batter and fried golden."
"apple-chicken","fried-chicken","Apple Chicken","80","TRUE","Non-Veg","Specialty, Juicy Cuts","Crispy lollipop-style chicken drummettes seasoned with Indo-Chinese spices and served piping hot."
"hot-wings","fried-chicken","Hot Wings (6 Pcs)","130","TRUE","Non-Veg","Spicy 🔥, 6 Pcs Wings","6 crispy deep-fried chicken wings coated with zesty red chili seasoning and black pepper glaze."
"popcorn-chicken","fried-chicken","Pop Corn","120","TRUE","Non-Veg","Boneless, Crunchy Pops","Bite-sized boneless crunchy tender chicken pops served with creamy mayo dip."
"chicken-strips","fried-chicken","Chicken Strips","70","TRUE","Non-Veg","Boneless, Crispy Tenders","100% tender boneless chicken breast fillets breaded in golden crumbs and fried to perfection."
"combo-2pcs-chicken","combos","2 Pcs Hot & Crispy Chicken Combo","170","TRUE","Non-Veg","Value Meal, Fries + Pepsi 🥤","2 Pcs Hot & Crispy Chicken served with golden salted French Fries and chilled 200ml Pepsi bottle."
"combo-crispy-wrap","combos","Crispy Chicken Wrap Combo","170","TRUE","Non-Veg","Wrap Combo, Fries + Pepsi 🥤","Golden Crispy Chicken Wrap packed with veggies & mayo, bundled with French Fries and 200ml Pepsi."
"combo-3-apple-chicken","combos","3 Apple Chicken Combo","170","TRUE","Non-Veg","Apple Chicken, Fries + Pepsi 🥤","3 Pcs of crispy spiced Apple Chicken drummettes served alongside French Fries and 200ml chilled Pepsi."
"hot-crispy-chicken-burger","burgers","Hot & Crispy Chicken Burger","89","TRUE","Non-Veg","Bestseller, Crispy Fillet","Thick crunchy fried chicken fillet with crisp iceberg lettuce, creamy burger mayo in toasted sesame buns."
"mega-king-burger","burgers","Mega King Burger","120","TRUE","Non-Veg","Chef Special, Double Loaded","Double-decker chicken patty tower loaded with melted cheese slice, tangy burger glaze and fresh salad."
"malaysian-egg-wrapper-burger","burgers","Malaysian Egg Wrapper Burger","140","TRUE","Egg","Street Special, Egg Wrapped","Authentic Malaysian Ramly style burger: spiced chicken patty encased in a savory folded egg wrap with pepper sauce."
"veg-burger","burgers","Veg Burger","70","TRUE","Veg","100% Veg, Crispy Patty","Crispy golden potato & veggie patty topped with ripe tomatoes, crunchy lettuce and herb mayonnaise."
